player,position,crimeraw,crime_count
Terry Johnson,DT,assault,1
Adam Jones,CB,drugs,1
Greg Wesley,S,disorderly conduct,1
Fred Smoot,CB,"disorderly conduct, sex",2
Lionel Dalton,DT,domestic violence,1
Fakhir Brown,CB,dui,1
Derreck Robinson,DE,dui,1
Courtney Watson,LB,dui,1
D.J. Williams,LB,dui,1
Torrie Cox,CB,dui,1
Kevin Williams,DT,domestic violence,1
Junior Siavii,DT,"disorderly conduct, alcohol",2
Greg Wesley,S,"disorderly conduct, alcohol",2
Rod Coleman,DT,disorderly conduct,1
Adam Jones,CB,assault,1
Sam Brandon,S,domestic violence,1
Leon Joe,LB,gun,1
Quintin Williams,S,dui,1
Terry Johnson,DT,gun,1
Nick Harper,CB,domestic violence,1
Sean Taylor,S,"gun, assault",2
Mike Doss,S,gun,1
Kalimba Edwards,DE,resisting arrest,1
Tommy Hendricks,LB,violating court order,1
Dwight Smith,S,gun,1
Tank Williams,S,dui,1
Samari Rolle,CB,domestic violence,1
Frank Walker,CB,"gun, stolen possession",2
Willie Middlebrooks,CB,domestic violence,1
Montae Reagor,DT,harassment,1
Marques Anderson,S,alcohol,1
Charles Woodson,S,alcohol,1
Torrie Cox,CB,dui,1
Sean Taylor,S,dui,1
Jarrod Cooper,S,false information,1
Justin Smith,DE,dui,1
Eric Warfield,CB,dui,1
Wendell Bryant,DT,dui,1
E.J. Henderson,LB,assault,1
Mike Nattiel,LB,assault,1
Cliff Crosby,CB,disorderly conduct,1
Sam Brandon,S,domestic violence,1
Brock Marion,S,theft,1
Marcus Coleman,S,dui,1
Jay Bellamy,S,dui,1
Leonard Little,DE,dui,1
Corey Fuller,CB,"gambling, gun",2
Ty Law,CB,resisting arrest,1
Ellis Wyms,DT,criminal mischief,1
E.J. Henderson,LB,dui,1
Joseph Jefferson,CB,dui,1
Joe Johnson,DE,violating court order,1
Kenny Mixon,DE,dui,1
Joseph Jefferson,CB,"dui, gun",2
Kevin Williams,DT,dui,1
